,Ticker,Optimization Periods,Recalibration Months,Number of Strategies,Metric,Sortino,Sharpe,Rolling Sortino,Rolling Sharpe,Rollling CAGR,MaxDrawupByMaxDrawdown,Outperformance
0,GOLDBEES.NS,1,3,1,rolling_sharpe,-0.058103025768788966,-0.04541572542509927,-0.5819138349713647,-0.18913292077752286,0.05712690705920226,5.876165481134498,0.06655678597048986
1,GOLDBEES.NS,1,3,1,rolling_sortino,-0.058103025768788966,-0.04541572542509927,-0.5819138349713647,-0.18913292077752286,0.05712690705920226,5.876165481134498,0.06655678597048986
2,GOLDBEES.NS,1,3,1,rolling_cagr,-0.058103025768788966,-0.04541572542509927,-0.5819138349713647,-0.18913292077752286,0.05712690705920226,5.876165481134498,0.06655678597048986
3,GOLDBEES.NS,1,3,1,maxdrawup_by_maxdrawdown,-0.058103025768788966,-0.04541572542509927,-0.5819138349713647,-0.18913292077752286,0.05712690705920226,5.876165481134498,0.06655678597048986
4,GOLDBEES.NS,1,3,1,outperformance,-0.058103025768788966,-0.04541572542509927,-0.5819138349713647,-0.18913292077752286,0.05712690705920226,5.876165481134498,0.06655678597048986
5,GOLDBEES.NS,1,3,3,rolling_sharpe,-0.101539440741387,-0.08436357752804217,-0.4386371337007899,-0.13744138336281678,0.04283031214120273,5.214907593986488,0.032446647610360646
6,GOLDBEES.NS,1,3,3,rolling_sortino,-0.028428267328801115,-0.024404344392272806,-0.3072104221000109,-0.0473417639871324,0.046849143276338545,6.091337184092068,0.09122853164527966
7,GOLDBEES.NS,1,3,3,rolling_cagr,-0.048522607879562356,-0.03955728959277678,-0.43047268763161356,-0.13720383382974546,0.04826547310889192,5.257361413031011,0.0722599720260575
8,GOLDBEES.NS,1,3,3,maxdrawup_by_maxdrawdown,-0.06251575561708371,-0.06714557926690067,-0.7141679624452039,-0.2678270181148383,0.052400744415608436,6.003270607794682,0.06356579046826782
9,GOLDBEES.NS,1,3,3,outperformance,-0.048522607879562356,-0.03955728959277678,-0.43047268763161356,-0.13720383382974546,0.04826547310889192,5.257361413031011,0.0722599720260575
10,GOLDBEES.NS,1,3,5,rolling_sharpe,-0.24975209866395492,-0.24305285329416704,-0.6875465115006045,-0.2968869303138797,0.040249303836664654,4.7119081067262805,-0.10062924797867989
11,GOLDBEES.NS,1,3,5,rolling_sortino,-0.179087430685083,-0.18288220662856314,-0.8307337945412746,-0.344960644854314,0.04143772090534638,4.053981506676422,-0.030222201466624465
12,GOLDBEES.NS,1,3,5,rolling_cagr,0.0822667583104348,0.06793111605387016,-0.19782576172000085,0.02195081152241931,0.05604744675671519,6.704198870458798,0.18568137093509973
13,GOLDBEES.NS,1,3,5,maxdrawup_by_maxdrawdown,-0.037059161512788714,-0.042835284803298436,-0.5655730656435498,-0.13390462615906018,0.05128243511278631,7.588570905615016,0.08213650393059946
14,GOLDBEES.NS,1,3,5,outperformance,0.0822667583104348,0.06793111605387016,-0.19782576172000085,0.02195081152241931,0.05604744675671519,6.704198870458798,0.18568137093509973
15,GOLDBEES.NS,1,3,7,rolling_sharpe,-0.15879932306163694,-0.15882371964106964,-0.5996509355197344,-0.2310551594630438,0.03848801498849489,4.995186135223391,-0.016984323069841212
16,GOLDBEES.NS,1,3,7,rolling_sortino,-0.12329120351842662,-0.12431599419167007,-0.706551683782601,-0.25340768971726874,0.0409831566577304,5.458836725676157,0.013563314908504376
17,GOLDBEES.NS,1,3,7,rolling_cagr,-0.14042369043868233,-0.12951502948661814,-0.5474524614437053,-0.16477434538034091,0.037243078811347384,4.828325597454534,-0.002281563492814609
18,GOLDBEES.NS,1,3,7,maxdrawup_by_maxdrawdown,-0.12085867587931964,-0.14130430157639803,-0.864260791365726,-0.3363716370807714,0.04599357524276704,5.464016063402173,0.007732757233983811
19,GOLDBEES.NS,1,3,7,outperformance,-0.08951691893154978,-0.08205107358665051,-0.38345080958490607,-0.11705375517734343,0.04397793904719532,6.2346257641046305,0.037403680015139606
20,GOLDBEES.NS,1,6,1,rolling_sharpe,-0.11758927891852108,-0.09799671907506166,-0.6616908052545294,-0.26370970449740466,0.050873595926944314,3.6871544174275948,0.02796968310131498
21,GOLDBEES.NS,1,6,1,rolling_sortino,-0.11758927891852108,-0.09799671907506166,-0.6616908052545294,-0.26370970449740466,0.050873595926944314,3.6871544174275948,0.02796968310131498
22,GOLDBEES.NS,1,6,1,rolling_cagr,-0.11758927891852108,-0.09799671907506166,-0.6616908052545294,-0.26370970449740466,0.050873595926944314,3.6871544174275948,0.02796968310131498
23,GOLDBEES.NS,1,6,1,maxdrawup_by_maxdrawdown,-0.11758927891852108,-0.09799671907506166,-0.6616908052545294,-0.26370970449740466,0.050873595926944314,3.6871544174275948,0.02796968310131498
24,GOLDBEES.NS,1,6,1,outperformance,-0.11758927891852108,-0.09799671907506166,-0.6616908052545294,-0.26370970449740466,0.050873595926944314,3.6871544174275948,0.02796968310131498
25,GOLDBEES.NS,1,6,3,rolling_sharpe,-0.007721657900664029,-0.006615072828792533,-0.5475868822536497,-0.19595566871028225,0.05009579331785876,5.603699798385087,0.11569223615597979
26,GOLDBEES.NS,1,6,3,rolling_sortino,0.0985138316359768,0.08673337740877511,-0.4753450335243963,-0.0531561155795448,0.056007568122518205,6.9146374473179515,0.20377256757167084
27,GOLDBEES.NS,1,6,3,rolling_cagr,-0.012477058356172771,-0.010811968501830986,-0.6422220637993749,-0.2216375535911802,0.049039888284709426,5.819178547408417,0.1113767268995316
